experiment_id,receptor_id,time_days,concentration_mg_L
public_no_action,R003,3650.0,0.00016
public_no_action,R003,4100.0,0.00049
public_no_action,R003,4700.0,0.00139
public_no_action,R003,5600.0,0.00394
public_no_action,R006,3650.0,0.00481
public_no_action,R006,4100.0,0.01541
public_no_action,R006,4700.0,0.04755
public_no_action,R006,5600.0,0.14706
public_no_action,R011,3650.0,0.0
public_no_action,R011,4100.0,0.0
public_no_action,R011,4700.0,0.0
public_no_action,R011,5600.0,4e-05
public_no_action,R016,3650.0,0.0
public_no_action,R016,4100.0,0.0
public_no_action,R016,4700.0,0.0
public_no_action,R016,5600.0,0.0
public_no_action,R021,3650.0,0.0
public_no_action,R021,4100.0,0.0
public_no_action,R021,4700.0,0.0
public_no_action,R021,5600.0,0.0
public_single_upstream_low,R003,3650.0,0.00015
public_single_upstream_low,R003,4100.0,0.00046
public_single_upstream_low,R003,4700.0,0.00133
public_single_upstream_low,R003,5600.0,0.00378
public_single_upstream_low,R006,3650.0,0.00385
public_single_upstream_low,R006,4100.0,0.01262
public_single_upstream_low,R006,4700.0,0.0397
public_single_upstream_low,R006,5600.0,0.12511
public_single_upstream_low,R011,3650.0,0.0
public_single_upstream_low,R011,4100.0,0.0
public_single_upstream_low,R011,4700.0,0.0
public_single_upstream_low,R011,5600.0,4e-05
public_single_upstream_low,R016,3650.0,0.0
public_single_upstream_low,R016,4100.0,0.0
public_single_upstream_low,R016,4700.0,0.0
public_single_upstream_low,R016,5600.0,0.0
public_single_upstream_low,R021,3650.0,0.0
public_single_upstream_low,R021,4100.0,0.0
public_single_upstream_low,R021,4700.0,0.0
public_single_upstream_low,R021,5600.0,0.0
public_two_well_barrier,R003,3650.0,0.00013
public_two_well_barrier,R003,4100.0,0.00038
public_two_well_barrier,R003,4700.0,0.00112
public_two_well_barrier,R003,5600.0,0.00322
public_two_well_barrier,R006,3650.0,0.00314
public_two_well_barrier,R006,4100.0,0.01003
public_two_well_barrier,R006,4700.0,0.03198
public_two_well_barrier,R006,5600.0,0.10216
public_two_well_barrier,R011,3650.0,0.0
public_two_well_barrier,R011,4100.0,0.0
public_two_well_barrier,R011,4700.0,0.0
public_two_well_barrier,R011,5600.0,2e-05
public_two_well_barrier,R016,3650.0,0.0
public_two_well_barrier,R016,4100.0,0.0
public_two_well_barrier,R016,4700.0,0.0
public_two_well_barrier,R016,5600.0,0.0
public_two_well_barrier,R021,3650.0,0.0
public_two_well_barrier,R021,4100.0,0.0
public_two_well_barrier,R021,4700.0,0.0
public_two_well_barrier,R021,5600.0,0.0
public_short_pulse,R003,3650.0,0.00014
public_short_pulse,R003,4100.0,0.00041
public_short_pulse,R003,4700.0,0.0012
public_short_pulse,R003,5600.0,0.00347
public_short_pulse,R006,3650.0,0.004
public_short_pulse,R006,4100.0,0.01303
public_short_pulse,R006,4700.0,0.04105
public_short_pulse,R006,5600.0,0.1294
public_short_pulse,R011,3650.0,0.0
public_short_pulse,R011,4100.0,0.0
public_short_pulse,R011,4700.0,0.0
public_short_pulse,R011,5600.0,2e-05
public_short_pulse,R016,3650.0,0.0
public_short_pulse,R016,4100.0,0.0
public_short_pulse,R016,4700.0,0.0
public_short_pulse,R016,5600.0,0.0
public_short_pulse,R021,3650.0,0.0
public_short_pulse,R021,4100.0,0.0
public_short_pulse,R021,4700.0,0.0
public_short_pulse,R021,5600.0,0.0
