well_id,x,y,z,screen_top_m,screen_bottom_m,zone_id,drawdown_coeff,capture_coeff,energy_cost_usd_per_m3,availability_start_day,availability_end_day,fixed_cost_usd,variable_cost_usd_per_m3,max_rate_m3_day
P001,360.0,200.0,221.1238095238095,221.674,220.174,upstream,0.00746,0.79,0.0654,2920.0,5020.0,68600.0,24.12,120.0
P002,360.0,245.0,221.1238095238095,221.674,220.174,upstream,0.00666,0.85,0.0594,2920.0,5110.0,63200.0,22.32,120.0
P003,360.0,290.0,221.1238095238095,221.674,220.174,upstream,0.00746,0.79,0.0654,2920.0,5020.0,68600.0,24.12,120.0
P004,440.0,200.0,221.19047619047618,221.74,220.24,upstream,0.00794,0.79,0.0686,2920.0,5020.0,74200.0,25.08,120.0
P005,440.0,245.0,221.19047619047618,221.74,220.24,upstream,0.00714,0.85,0.0626,2920.0,5110.0,68800.0,23.28,120.0
P006,440.0,290.0,221.19047619047618,221.74,220.24,upstream,0.00794,0.79,0.0686,2920.0,5020.0,74200.0,25.08,120.0
P007,520.0,200.0,221.22857142857143,221.779,220.279,central,0.00842,0.97,0.0718,2920.0,5020.0,79800.0,26.04,120.0
P008,520.0,245.0,221.22857142857143,221.779,220.279,central,0.00762,1.03,0.0658,2920.0,5110.0,74400.0,24.24,120.0
P009,520.0,290.0,221.22857142857143,221.779,220.279,central,0.00842,0.97,0.0718,2920.0,5020.0,79800.0,26.04,120.0
P010,610.0,200.0,221.26904761904763,221.819,220.319,central,0.00896,0.97,0.0754,2920.0,5020.0,86100.0,27.12,120.0
P011,610.0,245.0,221.26904761904763,221.819,220.319,central,0.00816,1.03,0.0694,2920.0,5110.0,80700.0,25.32,120.0
P012,610.0,290.0,221.26904761904763,221.819,220.319,central,0.00896,0.97,0.0754,2920.0,5020.0,86100.0,27.12,120.0
P013,720.0,200.0,221.2952380952381,221.845,220.345,downstream,0.00962,0.79,0.0798,3040.0,5020.0,93800.0,28.44,90.0
P014,720.0,245.0,221.2952380952381,221.845,220.345,downstream,0.00882,0.85,0.0738,3040.0,5110.0,88400.0,26.64,90.0
P015,720.0,290.0,221.2952380952381,221.845,220.345,downstream,0.00962,0.79,0.0798,3040.0,5020.0,93800.0,28.44,90.0
P016,840.0,200.0,221.3190476190476,221.869,220.369,downstream,0.01034,0.79,0.0846,3040.0,5020.0,102200.0,29.88,90.0
P017,840.0,245.0,221.3190476190476,221.869,220.369,downstream,0.00954,0.85,0.0786,3040.0,5110.0,96800.0,28.08,90.0
P018,840.0,290.0,221.3190476190476,221.869,220.369,downstream,0.01034,0.79,0.0846,3040.0,5020.0,102200.0,29.88,90.0
