plan_name,receptor_id,time_days,concentration_mg_L
random_00_two_well_barrier,R001,3650.0,0.04731814558355631
random_00_two_well_barrier,R001,3842.1052631578946,0.05977235161496154
random_00_two_well_barrier,R001,4034.2105263157896,0.07013330434999318
random_00_two_well_barrier,R001,4226.315789473684,0.08224892408965617
random_00_two_well_barrier,R001,4418.421052631579,0.09668525990175386
random_00_two_well_barrier,R001,4610.526315789473,0.11166455366187417
random_00_two_well_barrier,R001,4802.631578947368,0.12687586720476632
random_00_two_well_barrier,R001,4994.736842105263,0.14192578090171623
random_00_two_well_barrier,R001,5186.842105263158,0.15637838325838854
random_00_two_well_barrier,R001,5378.9473684210525,0.169800086030024
random_00_two_well_barrier,R001,5571.0526315789475,0.18180204002958442
random_00_two_well_barrier,R001,5763.157894736842,0.19206455291740832
random_00_two_well_barrier,R001,5955.263157894737,0.2003541597127487
random_00_two_well_barrier,R001,6147.368421052632,0.20654455411292774
random_00_two_well_barrier,R001,6339.473684210527,0.21058877173101578
random_00_two_well_barrier,R001,6531.578947368422,0.21251778103474275
random_00_two_well_barrier,R001,6723.684210526316,0.21242809829254752
random_00_two_well_barrier,R001,6915.78947368421,0.21046013344365777
random_00_two_well_barrier,R001,7107.894736842105,0.20680659137413107
random_00_two_well_barrier,R001,7300.0,0.20168188525343425
random_00_two_well_barrier,R002,3650.0,0.3166739327377281
random_00_two_well_barrier,R002,3842.1052631578946,0.3811145207207657
random_00_two_well_barrier,R002,4034.2105263157896,0.42467998304818116
random_00_two_well_barrier,R002,4226.315789473684,0.47695791053729675
random_00_two_well_barrier,R002,4418.421052631579,0.5409633527847485
random_00_two_well_barrier,R002,4610.526315789473,0.6043264497665644
random_00_two_well_barrier,R002,4802.631578947368,0.6649810414146117
random_00_two_well_barrier,R002,4994.736842105263,0.7206817713232115
random_00_two_well_barrier,R002,5186.842105263158,0.7694413850549888
random_00_two_well_barrier,R002,5378.9473684210525,0.8097252662563521
random_00_two_well_barrier,R002,5571.0526315789475,0.8405503383468822
random_00_two_well_barrier,R002,5763.157894736842,0.8614695750688125
random_00_two_well_barrier,R002,5955.263157894737,0.8724542047178089
random_00_two_well_barrier,R002,6147.368421052632,0.8739515537329153
random_00_two_well_barrier,R002,6339.473684210527,0.8666723828487146
random_00_two_well_barrier,R002,6531.578947368422,0.8515174714965943
random_00_two_well_barrier,R002,6723.684210526316,0.8295154180788178
random_00_two_well_barrier,R002,6915.78947368421,0.8017519391210163
random_00_two_well_barrier,R002,7107.894736842105,0.7693140489318964
random_00_two_well_barrier,R002,7300.0,0.7332969862239768
random_00_two_well_barrier,R003,3650.0,0.00016346487594729372
random_00_two_well_barrier,R003,3842.1052631578946,0.0002708386118707307
random_00_two_well_barrier,R003,4034.2105263157896,0.0003949020330599794
random_00_two_well_barrier,R003,4226.315789473684,0.0005676513047325141
random_00_two_well_barrier,R003,4418.421052631579,0.0008076349592247145
random_00_two_well_barrier,R003,4610.526315789473,0.0011066513889349322
random_00_two_well_barrier,R003,4802.631578947368,0.0014678873355975196
random_00_two_well_barrier,R003,4994.736842105263,0.0018922025063527127
random_00_two_well_barrier,R003,5186.842105263158,0.00237832558448982
random_00_two_well_barrier,R003,5378.9473684210525,0.002923091459456844
random_00_two_well_barrier,R003,5571.0526315789475,0.0035211874025564676
random_00_two_well_barrier,R003,5763.157894736842,0.004165042740944475
random_00_two_well_barrier,R003,5955.263157894737,0.004844948109107174
random_00_two_well_barrier,R003,6147.368421052632,0.005548542112645359
random_00_two_well_barrier,R003,6339.473684210527,0.006261963012742164
random_00_two_well_barrier,R003,6531.578947368422,0.006970145698595166
random_00_two_well_barrier,R003,6723.684210526316,0.00765755129007987
random_00_two_well_barrier,R003,6915.78947368421,0.008308843878243394
random_00_two_well_barrier,R003,7107.894736842105,0.008909694076954824
random_00_two_well_barrier,R003,7300.0,0.009447917759095308
random_00_two_well_barrier,R004,3650.0,1.1268581526666826e-15
random_00_two_well_barrier,R004,3842.1052631578946,8.194838022109399e-15
random_00_two_well_barrier,R004,4034.2105263157896,4.257043581764359e-14
random_00_two_well_barrier,R004,4226.315789473684,1.9346697743400157e-13
random_00_two_well_barrier,R004,4418.421052631579,7.756803877394597e-13
random_00_two_well_barrier,R004,4610.526315789473,2.700219399431304e-12
random_00_two_well_barrier,R004,4802.631578947368,8.330741482788155e-12
random_00_two_well_barrier,R004,4994.736842105263,2.3039258446392525e-11
random_00_two_well_barrier,R004,5186.842105263158,5.796026849115221e-11
random_00_two_well_barrier,R004,5378.9473684210525,1.3424107324670161e-10
random_00_two_well_barrier,R004,5571.0526315789475,2.89108442094285e-10
random_00_two_well_barrier,R004,5763.157894736842,5.849637129258172e-10
random_00_two_well_barrier,R004,5955.263157894737,1.1175837304631662e-09
random_00_two_well_barrier,R004,6147.368421052632,2.027264803996955e-09
random_00_two_well_barrier,R004,6339.473684210527,3.5105054831742024e-09
random_00_two_well_barrier,R004,6531.578947368422,5.830155168565456e-09
random_00_two_well_barrier,R004,6723.684210526316,9.325136475179297e-09
random_00_two_well_barrier,R004,6915.78947368421,1.4424835420593764e-08
random_00_two_well_barrier,R004,7107.894736842105,2.1623153418156926e-08
random_00_two_well_barrier,R004,7300.0,3.1498812907153125e-08
random_00_two_well_barrier,R005,3650.0,0.0008255212513561361
