receptor_id,x,y,z
R001,390,195,221.2095238095238
R002,390,235,221.2095238095238
R003,390,275,221.2095238095238
R004,390,315,221.2095238095238
R005,470,195,221.25476190476192
R006,470,235,221.25476190476192
R007,470,275,221.25476190476192
R008,470,315,221.25476190476192
R009,550,195,221.29285714285714
R010,550,235,221.29285714285714
R011,550,275,221.29285714285714
R012,550,315,221.29285714285714
R013,650,195,221.32857142857142
R014,650,235,221.32857142857142
R015,650,275,221.32857142857142
R016,650,315,221.32857142857142
R017,770,195,221.35714285714286
R018,770,235,221.35714285714286
R019,770,275,221.35714285714286
R020,770,315,221.35714285714286
R021,910,195,221.37738095238095
R022,910,235,221.37738095238095
R023,910,275,221.37738095238095
R024,910,315,221.37738095238095
